,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10
0,2020-11-01 00:00:00,82.0,127.0,73.0,172.0
1,2020-11-01 00:15:00,83.0,125.0,73.0,172.0
2,2020-11-01 00:30:00,76.0,117.0,73.0,172.0
3,2020-11-01 01:00:00,81.0,120.5,80.0,158.0
4,2020-11-01 01:15:00,83.0,118.0,80.0,158.0
5,2020-11-01 01:30:00,78.0,114.0,80.0,158.0
6,2020-11-01 01:45:00,75.0,112.0,67.0,132.0
7,2020-11-01 02:00:00,81.0,116.0,67.0,132.0
8,2020-11-01 02:15:00,82.0,119.0,67.0,132.0
9,2020-11-01 02:30:00,85.0,122.0,67.0,132.0
10,2020-11-01 03:00:00,83.0,126.0,69.0,133.0
11,2020-11-01 03:15:00,75.0,123.0,69.0,133.0
12,2020-11-01 03:30:00,79.0,122.0,69.0,133.0
13,2020-11-01 03:45:00,82.0,123.0,71.0,152.0
14,2020-11-01 04:00:00,81.0,121.0,71.0,152.0
15,2020-11-01 04:15:00,83.0,122.0,71.0,152.0
16,2020-11-01 04:30:00,86.0,125.0,71.0,152.0
17,2020-11-01 04:45:00,91.0,130.0,75.0,133.0
18,2020-11-01 05:00:00,92.0,131.0,75.0,133.0
19,2020-11-01 05:45:00,99.0,142.0,75.0,175.0
20,2020-11-01 06:15:00,111.0,184.0,75.0,175.0
21,2020-11-01 06:45:00,110.0,179.0,84.0,182.0
22,2020-11-01 07:00:00,108.0,170.0,84.0,182.0
23,2020-11-01 07:15:00,96.0,167.0,84.0,182.0
24,2020-11-01 07:30:00,92.0,141.0,84.0,182.0
25,2020-11-01 08:00:00,89.0,134.0,87.0,187.0
26,2020-11-01 08:30:00,92.0,142.5,87.0,187.0
27,2020-11-01 09:00:00,99.0,153.0,72.0,177.0
28,2020-11-01 09:15:00,95.0,141.0,72.0,177.0
29,2020-11-01 09:30:00,77.0,120.0,72.0,177.0
30,2020-11-01 10:00:00,72.0,116.0,72.0,181.0
31,2020-11-01 10:15:00,71.0,114.0,72.0,181.0
32,2020-11-01 10:45:00,71.0,112.0,63.0,146.0
33,2020-11-01 11:15:00,66.0,107.0,63.0,146.0
34,2020-11-01 11:45:00,63.0,107.0,59.0,133.0
35,2020-11-01 12:15:00,62.0,99.0,59.0,133.0
36,2020-11-01 12:30:00,60.0,102.0,59.0,133.0
37,2020-11-01 12:45:00,59.0,95.0,49.0,111.0
38,2020-11-01 13:15:00,60.0,94.0,49.0,111.0
39,2020-11-01 13:30:00,62.0,103.0,49.0,111.0
40,2020-11-01 14:00:00,62.0,97.0,59.0,133.0
41,2020-11-01 14:15:00,61.0,97.0,59.0,133.0
42,2020-11-01 14:30:00,60.0,97.0,59.0,133.0
43,2020-11-01 15:00:00,60.0,98.0,53.0,123.0
44,2020-11-01 15:15:00,58.0,96.0,53.0,123.0
45,2020-11-01 16:15:00,62.0,97.0,57.0,123.0
46,2020-11-01 16:30:00,61.0,101.0,57.0,123.0
47,2020-11-01 16:45:00,61.0,97.0,59.0,133.0
48,2020-11-01 17:15:00,61.0,103.0,59.0,133.0
49,2020-11-01 17:30:00,64.0,105.0,59.0,133.0
50,2020-11-01 17:45:00,66.0,110.0,66.0,152.0
51,2020-11-01 18:00:00,67.0,111.0,66.0,152.0
52,2020-11-01 18:15:00,67.0,110.0,66.0,152.0
53,2020-11-01 18:45:00,70.0,112.0,71.0,166.0
54,2020-11-01 19:00:00,72.0,120.0,71.0,166.0
55,2020-11-01 19:15:00,77.0,127.0,71.0,166.0
56,2020-11-01 21:15:00,83.0,132.0,74.0,175.0
57,2020-11-01 21:30:00,83.0,127.0,74.0,175.0
58,2020-11-01 21:45:00,84.0,131.0,76.0,187.0
59,2020-11-01 22:15:00,82.0,124.0,76.0,187.0
60,2020-11-01 22:30:00,85.0,128.0,76.0,187.0
61,2020-11-01 22:45:00,83.0,129.0,84.0,180.0
62,2020-11-01 23:00:00,85.0,130.0,84.0,180.0
63,2020-11-01 23:45:00,83.0,127.0,83.0,169.0
64,2020-11-02 00:00:00,83.0,124.0,83.0,169.0
65,2020-11-02 00:15:00,82.0,125.0,83.0,169.0
66,2020-11-02 00:30:00,84.0,130.0,83.0,169.0
67,2020-11-02 00:45:00,86.0,127.0,74.0,154.0
68,2020-11-02 01:00:00,88.0,129.0,74.0,154.0
69,2020-11-02 01:15:00,89.0,129.0,74.0,154.0
70,2020-11-02 01:30:00,90.0,132.0,74.0,154.0
71,2020-11-02 01:45:00,91.0,133.0,80.0,153.0
72,2020-11-02 02:00:00,91.0,131.0,80.0,153.0
73,2020-11-02 02:15:00,91.0,129.0,80.0,153.0
74,2020-11-02 02:45:00,94.0,140.0,87.0,184.0
75,2020-11-02 03:00:00,121.0,209.0,87.0,184.0
76,2020-11-02 03:15:00,114.0,191.0,87.0,184.0
77,2020-11-02 03:30:00,121.0,209.0,87.0,184.0
78,2020-11-02 03:45:00,125.0,223.0,80.0,175.0
79,2020-11-02 04:00:00,124.0,213.0,80.0,175.0
80,2020-11-02 04:15:00,124.0,212.0,80.0,175.0
81,2020-11-02 04:30:00,122.0,210.0,80.0,175.0
82,2020-11-02 04:45:00,121.0,201.0,86.0,172.0
83,2020-11-02 05:00:00,125.0,209.0,86.0,172.0
84,2020-11-02 05:15:00,124.0,203.0,86.0,172.0
85,2020-11-02 05:30:00,125.0,204.0,86.0,172.0
86,2020-11-02 05:45:00,125.0,204.0,81.0,188.0
87,2020-11-02 06:00:00,125.0,200.0,81.0,188.0
88,2020-11-02 06:15:00,111.0,206.0,81.0,188.0
89,2020-11-02 06:45:00,124.0,209.0,74.0,173.0
90,2020-11-02 07:00:00,124.0,196.0,74.0,173.0
91,2020-11-02 07:45:00,121.0,188.0,79.0,187.0
92,2020-11-02 08:30:00,103.0,153.0,79.0,187.0
93,2020-11-02 08:45:00,108.0,174.0,72.0,177.0
94,2020-11-02 09:00:00,109.0,171.0,72.0,177.0
95,2020-11-02 09:45:00,84.0,124.0,79.0,187.0
96,2020-11-02 10:00:00,79.0,121.0,79.0,187.0
97,2020-11-02 10:15:00,79.0,120.0,79.0,187.0
98,2020-11-02 10:30:00,77.0,118.0,79.0,187.0
99,2020-11-02 10:45:00,79.0,118.0,74.0,180.0
100,2020-11-02 11:15:00,77.0,112.0,74.0,180.0
