,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10
0,2020-11-01 00:00:00,82.0,127.0,73.0,172.0
1,2020-11-01 01:00:00,81.0,120.5,80.0,158.0
2,2020-11-01 02:00:00,81.0,116.0,67.0,132.0
3,2020-11-01 03:00:00,83.0,126.0,69.0,133.0
4,2020-11-01 04:00:00,81.0,121.0,71.0,152.0
5,2020-11-01 05:00:00,92.0,131.0,75.0,133.0
6,2020-11-01 07:00:00,108.0,170.0,84.0,182.0
7,2020-11-01 08:00:00,89.0,134.0,87.0,187.0
8,2020-11-01 09:00:00,99.0,153.0,72.0,177.0
9,2020-11-01 10:00:00,72.0,116.0,72.0,181.0
10,2020-11-01 14:00:00,62.0,97.0,59.0,133.0
11,2020-11-01 15:00:00,60.0,98.0,53.0,123.0
12,2020-11-01 18:00:00,67.0,111.0,66.0,152.0
13,2020-11-01 19:00:00,72.0,120.0,71.0,166.0
14,2020-11-01 23:00:00,85.0,130.0,84.0,180.0
15,2020-11-02 00:00:00,83.0,124.0,83.0,169.0
16,2020-11-02 01:00:00,88.0,129.0,74.0,154.0
17,2020-11-02 02:00:00,91.0,131.0,80.0,153.0
18,2020-11-02 03:00:00,121.0,209.0,87.0,184.0
19,2020-11-02 04:00:00,124.0,213.0,80.0,175.0
20,2020-11-02 05:00:00,125.0,209.0,86.0,172.0
21,2020-11-02 06:00:00,125.0,200.0,81.0,188.0
22,2020-11-02 07:00:00,124.0,196.0,74.0,173.0
23,2020-11-02 09:00:00,109.0,171.0,72.0,177.0
24,2020-11-02 10:00:00,79.0,121.0,79.0,187.0
25,2020-11-02 13:00:00,61.0,93.0,72.0,134.0
26,2020-11-02 16:00:00,53.0,86.0,62.0,113.0
27,2020-11-02 19:00:00,84.0,125.0,86.0,176.0
28,2020-11-02 20:00:00,88.0,123.0,78.0,177.0
29,2020-11-02 21:00:00,92.0,130.0,77.0,184.0
30,2020-11-02 22:00:00,83.0,125.0,83.0,180.0
