created_at,PM10,PM2.5,RH,Temp
01-12-2020 00:00,171,86,78,29.3
01-12-2020 00:15,171,86,79,29.3
01-12-2020 00:30,171,86,79,29.3
01-12-2020 00:45,153,79,80,29.3
01-12-2020 01:00,153,79,80,29.4
01-12-2020 01:15,153,79,81,29.4
01-12-2020 01:30,153,79,82,29.4
01-12-2020 01:45,132,73,82,29.4
01-12-2020 02:00,132,73,83,29.4
01-12-2020 02:15,132,73,83,29.3
01-12-2020 02:30,132,73,83,29.4
01-12-2020 02:45,180,76,83,29.5
01-12-2020 03:00,180,76,83,29.7
01-12-2020 03:15,180,76,83,29.7
01-12-2020 03:30,180,76,83,29.5
01-12-2020 03:45,182,87,84,29.4
01-12-2020 04:00,182,87,84,29.3
01-12-2020 04:15,182,87,84,29.3
01-12-2020 04:30,182,87,85,29.3
01-12-2020 04:45,186,79,84,29.3
01-12-2020 05:00,186,79,84,29.3
01-12-2020 05:15,186,79,84,29.3
01-12-2020 05:30,186,79,84,29.4
01-12-2020 05:45,168,80,84,29.4
01-12-2020 06:00,168,80,85,29.3
01-12-2020 06:15,168,80,85,29.3
01-12-2020 06:30,168,80,85,29.4
01-12-2020 06:45,148,84,86,29.4
01-12-2020 07:00,148,84,86,29.4
01-12-2020 07:15,148,84,85,29.4
01-12-2020 07:30,148,84,82,29.4
01-12-2020 07:45,158,86,79,29.4
01-12-2020 08:00,158,86,77,29.3
01-12-2020 08:15,158,86,74,29.4
01-12-2020 08:30,158,86,72,29.4
01-12-2020 08:45,111,58,70,29.4
01-12-2020 09:00,111,58,69,29.3
01-12-2020 09:15,111,58,67,29.3
01-12-2020 09:30,111,58,66,29.3
01-12-2020 09:45,115,53,64,29.4
01-12-2020 10:00,115,53,63,29.7
01-12-2020 10:15,115,53,60,29.7
01-12-2020 10:30,115,53,58,29.5
01-12-2020 10:45,79,37,58,29.5
01-12-2020 11:00,79,37,58,29.7
01-12-2020 11:15,79,37,56,29.8
01-12-2020 11:30,79,37,54,29.6
01-12-2020 11:45,75,33,53,29.6
01-12-2020 12:00,75,33,53,29.8
01-12-2020 12:15,75,33,52,29.7
01-12-2020 12:30,75,33,51,29.5
01-12-2020 12:45,84,26,49,29.3
01-12-2020 13:00,84,26,48,29.2
01-12-2020 13:15,84,26,48,29.2
01-12-2020 13:30,84,26,47,29.1
01-12-2020 13:45,70,26,47,29.2
01-12-2020 14:00,70,26,46,29.2
01-12-2020 14:15,70,26,47,29.2
01-12-2020 14:30,70,26,47,29.2
01-12-2020 14:45,71,36,47,29.4
01-12-2020 15:00,71,36,46,29.3
01-12-2020 15:15,71,36,47,29.3
01-12-2020 15:30,71,36,47,29.2
01-12-2020 15:45,70,29,46,29.2
01-12-2020 16:00,70,29,46,29.2
