created_at,PM10,PM2.5,RH,Temp
01-11-2020 00:00,172,73,61,29.4
01-11-2020 00:15,172,73,62,29.4
01-11-2020 00:30,172,73,63,29.4
01-11-2020 00:45,158,80,64,29.4
01-11-2020 01:00,158,80,63,29.4
01-11-2020 01:15,158,80,66,29.4
01-11-2020 01:30,158,80,66,29.4
01-11-2020 01:45,132,67,65,29.5
01-11-2020 02:00,132,67,66,29.4
01-11-2020 02:15,132,67,67,29.4
01-11-2020 02:30,132,67,68,29.4
01-11-2020 02:45,133,69,69,29.7
01-11-2020 03:00,133,69,67,30
01-11-2020 03:15,133,69,66,30
01-11-2020 03:30,133,69,68,29.7
01-11-2020 03:45,152,71,71,29.5
01-11-2020 04:00,152,71,72,29.4
01-11-2020 04:15,152,71,73,29.3
01-11-2020 04:30,152,71,74,29.4
01-11-2020 04:45,133,75,70,29.4
01-11-2020 05:00,133,75,71,29.3
01-11-2020 05:15,133,75,72,29.3
01-11-2020 05:30,133,75,74,29.3
01-11-2020 05:45,175,75,75,29.3
01-11-2020 06:00,175,75,76,29.3
01-11-2020 06:15,175,75,75,29.3
01-11-2020 06:30,175,75,71,29.3
01-11-2020 06:45,182,84,70,29.3
01-11-2020 07:00,182,84,68,29.3
01-11-2020 07:15,182,84,63,29.2
01-11-2020 07:30,182,84,62,29.2
01-11-2020 07:45,187,87,61,29.3
01-11-2020 08:00,187,87,59,29.2
01-11-2020 08:15,187,87,58,29.2
01-11-2020 08:30,187,87,56,29.3
01-11-2020 08:45,177,72,55,29.3
01-11-2020 09:00,177,72,55,29.3
01-11-2020 09:15,177,72,53,29.4
01-11-2020 09:30,177,72,50,29.4
01-11-2020 09:45,181,72,49,29.7
01-11-2020 10:00,181,72,49,30
01-11-2020 10:15,181,72,49,30.1
01-11-2020 10:30,181,72,49,29.8
01-11-2020 10:45,146,63,49,29.9
01-11-2020 11:00,146,63,48,30.1
01-11-2020 11:15,146,63,48,30.2
01-11-2020 11:30,146,63,46,29.9
01-11-2020 11:45,133,59,46,29.8
01-11-2020 12:00,133,59,46,30.1
01-11-2020 12:15,133,59,45,30.2
01-11-2020 12:30,133,59,45,29.8
01-11-2020 12:45,111,49,45,29.7
01-11-2020 13:00,111,49,45,29.6
01-11-2020 13:15,111,49,44,29.6
01-11-2020 13:30,111,49,44,29.6
01-11-2020 13:45,133,59,44,29.7
01-11-2020 14:00,133,59,44,29.7
01-11-2020 14:15,133,59,44,29.7
01-11-2020 14:30,133,59,44,29.7
01-11-2020 14:45,123,53,45,29.6
01-11-2020 15:00,123,53,45,29.6
01-11-2020 15:15,123,53,45,29.7
01-11-2020 15:30,123,53,44,29.7
01-11-2020 15:45,123,57,45,29.7
01-11-2020 16:00,123,57,46,29.6
01-11-2020 16:15,123,57,46,29.7
01-11-2020 16:30,123,57,45,29.7
01-11-2020 16:45,133,59,46,29.7
01-11-2020 17:00,133,59,46,29.6
01-11-2020 17:15,133,59,47,29.6
01-11-2020 17:30,133,59,48,29.7
01-11-2020 17:45,152,66,49,29.6
01-11-2020 18:00,152,66,50,29.5
01-11-2020 18:15,152,66,50,29.5
01-11-2020 18:30,152,66,50,29.5
01-11-2020 18:45,166,71,50,29.4
01-11-2020 19:00,166,71,50,29.4
01-11-2020 19:15,166,71,51,29.5
01-11-2020 19:30,166,71,52,29.4
01-11-2020 19:45,172,82,53,29.4
01-11-2020 20:00,172,82,54,29.4
01-11-2020 20:15,172,82,54,29.4
01-11-2020 20:30,172,82,54,29.4
01-11-2020 20:45,175,74,54,29.4
01-11-2020 21:00,175,74,55,29.4
01-11-2020 21:15,175,74,55,29.4
01-11-2020 21:30,175,74,55,29.3
01-11-2020 21:45,187,76,56,29.3
01-11-2020 22:00,187,76,56,29.2
01-11-2020 22:15,187,76,57,29.3
01-11-2020 22:30,187,76,58,29.3
01-11-2020 22:45,180,84,58,29.4
01-11-2020 23:00,180,84,59,29.3
01-11-2020 23:15,180,84,59,29.4
01-11-2020 23:30,180,84,58,29.4
01-11-2020 23:45,169,83,59,29.4
02-11-2020 00:00,169,83,60,29.4
02-11-2020 00:15,169,83,60,29.4
02-11-2020 00:30,169,83,62,29.3
02-11-2020 00:45,154,74,64,29.4
02-11-2020 01:00,154,74,66,29.3
02-11-2020 01:15,154,74,68,29.3
02-11-2020 01:30,154,74,71,29.3
02-11-2020 01:45,153,80,72,29.4
02-11-2020 02:00,153,80,70,29.4
02-11-2020 02:15,153,80,67,29.3
02-11-2020 02:30,153,80,69,29.3
02-11-2020 02:45,184,87,72,29.5
02-11-2020 03:00,184,87,72,29.9
02-11-2020 03:15,184,87,74,29.9
02-11-2020 03:30,184,87,76,29.6
02-11-2020 03:45,175,80,78,29.5
02-11-2020 04:00,175,80,80,29.4
02-11-2020 04:15,175,80,80,29.4
02-11-2020 04:30,175,80,81,29.4
02-11-2020 04:45,172,86,81,29.4
02-11-2020 05:00,172,86,82,29.3
02-11-2020 05:15,172,86,83,29.3
02-11-2020 05:30,172,86,83,29.3
02-11-2020 05:45,188,81,83,29.3
02-11-2020 06:00,188,81,82,29.3
02-11-2020 06:15,188,81,82,29.3
02-11-2020 06:30,188,81,81,29.3
02-11-2020 06:45,173,74,80,29.3
02-11-2020 07:00,173,74,78,29.3
02-11-2020 07:15,173,74,75,29.3
02-11-2020 07:30,173,74,73,29.3
02-11-2020 07:45,187,79,71,29.4
02-11-2020 08:00,187,79,68,29.3
02-11-2020 08:15,187,79,64,29.3
02-11-2020 08:30,187,79,62,29.3
02-11-2020 08:45,177,72,60,29.4
02-11-2020 09:00,177,72,59,29.4
02-11-2020 09:15,177,72,56,29.5
02-11-2020 09:30,177,72,54,29.5
02-11-2020 09:45,187,79,52,29.6
02-11-2020 10:00,187,79,51,30
02-11-2020 10:15,187,79,50,30.1
02-11-2020 10:30,187,79,50,29.7
02-11-2020 10:45,180,74,50,29.8
02-11-2020 11:00,180,74,48,30.2
02-11-2020 11:15,180,74,48,30.3
02-11-2020 11:30,180,74,48,30
02-11-2020 11:45,155,69,46,30
02-11-2020 12:00,155,69,46,30.2
02-11-2020 12:15,155,69,46,30.2
02-11-2020 12:30,155,69,45,30
02-11-2020 12:45,134,72,45,29.9
02-11-2020 13:00,134,72,45,29.8
02-11-2020 13:15,134,72,44,29.8
02-11-2020 13:30,134,72,43,29.8
02-11-2020 13:45,106,55,45,29.8
02-11-2020 14:00,106,55,45,29.8
02-11-2020 14:15,106,55,44,29.8
02-11-2020 14:30,106,55,45,29.9
02-11-2020 14:45,99,55,46,29.9
02-11-2020 15:00,99,55,48,30
02-11-2020 15:15,99,55,49,29.9
02-11-2020 15:30,99,55,50,29.9
02-11-2020 15:45,113,62,50,29.9
02-11-2020 16:00,113,62,50,29.8
02-11-2020 16:15,113,62,50,29.7
02-11-2020 16:30,113,62,51,29.6
02-11-2020 16:45,125,61,52,29.6
02-11-2020 17:00,125,61,52,29.6
02-11-2020 17:15,125,61,53,29.5
02-11-2020 17:30,125,61,54,29.5
02-11-2020 17:45,152,71,56,29.5
02-11-2020 18:00,152,71,57,29.5
02-11-2020 18:15,152,71,58,29.4
02-11-2020 18:30,152,71,58,29.5
02-11-2020 18:45,176,86,59,29.5
02-11-2020 19:00,176,86,60,29.4
02-11-2020 19:15,176,86,61,29.4
02-11-2020 19:30,176,86,61,29.3
02-11-2020 19:45,177,78,61,29.4
02-11-2020 20:00,177,78,62,29.3
02-11-2020 20:15,177,78,62,29.3
02-11-2020 20:30,177,78,63,29.3
02-11-2020 20:45,184,77,63,29.3
02-11-2020 21:00,184,77,62,29.3
02-11-2020 21:15,184,77,63,29.3
02-11-2020 21:30,184,77,64,29.3
02-11-2020 21:45,180,83,64,29.3
02-11-2020 22:00,180,83,64,29.3
