created_at,PM2.5,PM10,NO2,CO,Ozone,Temp,RH,WS
01-10-2020 01:00,35.5,51.75,20.55,0.21,,29,85.5,0.3
01-10-2020 02:00,33,50.25,20.5,0.21,,29.12,86.25,0.32
01-10-2020 03:00,30,48,23.05,0.21,,29.1,87,0.4
01-10-2020 04:00,37.25,62.75,22.1,0.23,,29,87,0.3
01-10-2020 05:00,41,56.25,20.88,0.28,,29.02,87,0.38
01-10-2020 06:00,42.75,74.25,24.8,0.29,,29,87,0.43
01-10-2020 07:00,46,88.25,21.68,0.3,,29,86.5,0.68
01-10-2020 08:00,37.75,54,18.45,0.25,,28.98,85,0.6
01-10-2020 09:00,29.75,50,18.83,0.31,,29.02,81.5,1.05
01-10-2020 10:00,27.25,56.75,19.5,0.3,,28.98,75.75,1.73
01-10-2020 11:00,32.75,60.5,20.45,0.26,,28.92,70,1.77
01-10-2020 12:00,38.25,66.75,20.3,0.29,,29.02,71,2.08
01-10-2020 13:00,39.5,72.75,18.75,0.28,,29.05,67.75,2.12
01-10-2020 14:00,43.75,75,19.9,0.28,,29.05,66.75,1.9
01-10-2020 15:00,50.75,77,20.6,0.29,,29.08,66.75,1.95
01-10-2020 16:00,46.5,84,18.18,0.29,,29.15,66,1.75
01-10-2020 17:00,46.75,89.25,19.27,0.16,,29.17,64.75,1.82
02-10-2020 13:00,42,86.5,19.07,0.17,,29.15,62.25,2.55
02-10-2020 14:00,41.5,86.25,18.1,0.15,,29.23,58.75,2.67
02-10-2020 15:00,39.75,87.75,19.83,0.14,,29.27,56.5,2.25
02-10-2020 16:00,40.75,82,18.88,0.13,,29.27,55.25,2.15
02-10-2020 17:00,45,86.25,19.05,0.22,,29.33,57.5,2
02-10-2020 18:00,42.75,89.25,20.2,0.24,,29.25,62,1.52
02-10-2020 19:00,44.75,89,23.03,0.32,,29.2,67,0.43
02-10-2020 20:00,45.5,92.75,24.55,0.42,,29.25,70.75,0.3
02-10-2020 21:00,47.5,84.25,23.12,0.33,,29.23,73,0.3
02-10-2020 22:00,42.25,86.25,26.23,0.39,,29.17,76,0.3
02-10-2020 23:00,51.5,110.75,27.88,0.44,,29.17,78.5,0.3
03-10-2020 00:00,59,121.75,29.35,0.46,,29.1,78.5,0.3
03-10-2020 01:00,59.75,127.5,28.52,0.47,,29.1,78.5,0.3
03-10-2020 02:00,61.5,118.25,27.32,0.43,,29.1,80,0.3
03-10-2020 03:00,60,113,26,0.39,,29.1,80,0.3
03-10-2020 04:00,49.25,98,23.07,0.31,,29.1,80,0.3
03-10-2020 05:00,49.75,90.25,22.95,0.22,,29.05,79.75,0.4
03-10-2020 06:00,39.5,85.25,19.7,0.17,,29.25,79.5,0.5
03-10-2020 07:00,37.25,85,19.83,0.16,,29.23,80,0.4
03-10-2020 08:00,37.25,84.75,23.25,0.2,,29.3,79,0.72
03-10-2020 09:00,44.5,92.75,22.62,0.37,,29.3,75.75,1.55
03-10-2020 10:00,44.75,91,22.15,0.35,,29.2,71.75,2
03-10-2020 11:00,41.75,88,22.43,0.36,,29.32,67.75,2.35
03-10-2020 12:00,44.25,88.75,20.75,0.32,,29.35,63.75,2.15
03-10-2020 13:00,43.5,91.5,20.48,0.23,,29.38,59,2.12
03-10-2020 14:00,38.75,92.5,20.43,0.22,,29.33,56.75,2.33
03-10-2020 15:00,39,90.25,20.02,0.22,,29.4,54.5,2.17
03-10-2020 16:00,43,88,20.38,0.2,,29.27,54.25,1.55
03-10-2020 17:00,47.25,90,19.07,0.24,,29.38,55.25,1.12
03-10-2020 18:00,50.25,96,18.58,0.23,,29.55,58,0.8
03-10-2020 19:00,49.5,106,29.88,0.48,49.85,29.83,60.5,0.6
03-10-2020 20:00,55,122,32.98,0.61,36.52,29.83,64.5,0.3
03-10-2020 21:00,57.5,124.75,33.02,0.62,31.05,29.83,67,0.3
03-10-2020 22:00,56,121.75,28.38,0.55,28.32,29.88,71.25,0.3
03-10-2020 23:00,54,109.25,25.3,0.54,13.77,29.77,77.25,0.3
04-10-2020 00:00,51.75,99.75,29.88,0.56,10.05,29.77,78.5,0.3
04-10-2020 01:00,62.25,123,35.35,0.52,7.33,29.7,79.25,0.3
04-10-2020 02:00,59.5,121.25,27.95,0.5,4.8,29.68,81.5,0.3
04-10-2020 03:00,56.75,111,24.43,0.44,7.15,29.88,81.75,0.3
04-10-2020 04:00,49.5,92.75,20.02,0.31,23.5,30.2,81.25,0.32
04-10-2020 05:00,37.25,79.5,20.88,0.24,19.3,29.8,83,0.32
04-10-2020 06:00,33.75,68.5,21.27,0.24,14.2,29.88,84.5,0.3
04-10-2020 07:00,38,66.25,20.9,0.25,12.25,29.88,85.5,0.32
04-10-2020 08:00,36.25,67.25,20.9,0.23,17.45,29.7,83,0.42
04-10-2020 09:00,42,79,20.9,0.23,22,29.7,78,1.02
04-10-2020 10:00,46.5,84.75,20.5,0.21,33.22,29.8,68.75,1.38
04-10-2020 11:00,42,85.75,20.88,0.19,44.6,30.43,62,1.82
04-10-2020 12:00,41.5,89.25,21.15,0.21,51.4,30.55,60.75,1.85
04-10-2020 13:00,39.5,84.5,18.62,0.24,54.7,30.52,57,2.2
04-10-2020 14:00,38.75,84.5,20.75,0.22,55.55,30,56.75,2.1
04-10-2020 15:00,41,81,20.32,0.21,55.72,29.98,57.25,1.95
04-10-2020 16:00,43.25,87,20.88,0.21,58.55,29.85,57,2.05
04-10-2020 17:00,51,93.5,21.5,0.32,62.95,29.83,56,1.95
04-10-2020 18:00,51.75,86.25,20.38,0.33,63.02,29.9,58.75,0.6
04-10-2020 19:00,46,88.75,22.65,0.4,50.6,29.77,65.75,0.3
04-10-2020 20:00,49,95.75,28.7,0.55,38.48,29.7,69.25,0.3
04-10-2020 21:00,48.75,102,29.25,0.55,27,29.7,72.75,0.3
04-10-2020 22:00,50.25,110.75,28.32,0.54,16.4,29.67,76.75,0.3
04-10-2020 23:00,58,127.5,28.6,0.55,11.77,29.7,78.5,0.3
05-10-2020 00:00,57.25,113.5,21.68,0.42,17.5,29.67,79.5,0.3
05-10-2020 01:00,44.5,73.25,19.52,0.42,15.07,29.7,81.75,0.3
05-10-2020 02:00,41,66,21.43,0.34,15.8,29.7,83,0.3
05-10-2020 03:00,43,71,24.88,0.31,14.7,29.73,83,0.3
05-10-2020 04:00,40,78.75,24.73,0.31,18.95,30.1,84,0.35
05-10-2020 05:00,38.75,81,21.98,0.23,23.25,29.75,84,0.35
05-10-2020 06:00,35,71.25,19,0.21,20.85,29.7,85,0.32
05-10-2020 07:00,35,67.25,18.4,0.23,18.57,29.67,86,0.35
05-10-2020 08:00,35.75,64.75,18.27,0.23,25.8,29.58,82,0.6
05-10-2020 09:00,38.75,75.25,19.73,0.32,36.72,29.5,74.25,1.5
05-10-2020 10:00,40.75,85,21.8,0.32,43.6,29.65,70.25,1.8
05-10-2020 11:00,38.25,93,20.05,0.34,47,30.27,66.5,1.98
05-10-2020 12:00,34.5,89.75,22.2,0.31,49.12,30.5,64.25,2.35
05-10-2020 13:00,39,89,30.3,0.27,59.77,30.45,59.25,2.8
05-10-2020 14:00,33,82.25,32.58,0.97,59.1,30.6,57.75,2.9
05-10-2020 15:00,36.5,85.25,16.15,0.36,57.35,30.18,57.5,2.92
