"","created_at","pm25_air","pm10_air","co_air","no2_air","PM2.5","PM10","NO2","CO"
"1","01-01-2021 00:00",198.5,403.5,2,48.95,86,176,52.22,1.12
"2","01-12-2020 01:00",89.5,129.5,2,48.275,84.25,166.5,62.1,1.3
"3","01-12-2020 02:00",91.5,130,2,47.07,77.5,147.75,52,1.14
"4","01-12-2020 03:00",95,141,2,48.38,73.75,144,65.12,1.28
"5","01-12-2020 04:00",103,163,2,48.325,78.75,180.5,63.98,1.35
"6","01-12-2020 05:00",116,193,2.5,47.065,85,183,64.38,1.06
"7","01-12-2020 06:00",124,204.5,2,47.21,79.25,181.5,56.62,0.84
"8","01-12-2020 07:00",126.5,206.5,2,47.105,81,163,48.45,0.69
"9","01-12-2020 08:00",117,186.5,2,46.32,84.5,150.5,46.72,0.68
"10","01-12-2020 09:00",94,135,2,44.74,79,146.25,38.5,0.53
"11","01-12-2020 10:00",87.5,125,2,46.215,56.75,112,37.5,0.47
"12","01-12-2020 11:00",58.5,95,2,39.11,49,106,31.25,0.37
"13","01-12-2020 12:00",51.5,88,2,31.775,36,78,30.55,0.31
"14","01-12-2020 13:00",46.5,82.5,1,35.59,31.25,77.25,28.38,0.45
"15","01-12-2020 14:00",36.5,70,2,29.925,26,80.5,27.43,0.38
"16","01-12-2020 15:00",40,75,2,31.195,28.5,70.25,26.95,0.36
"17","01-12-2020 16:00",38.5,72,1.5,35.38,34.25,70.75,26.55,0.33
"18","01-12-2020 17:00",37.5,73.5,1.5,43.295,29,71.25,26.18,0.28
"19","01-12-2020 18:00",42.5,83,2,49.665,31.25,77.5,31.67,0.37
"20","01-12-2020 19:00",52.5,94.5,2,52,40.75,91.25,42.68,0.6
"21","01-12-2020 20:00",63,103,2,51.875,50.5,110.5,48.6,0.79
"22","01-12-2020 21:00",66.5,106.5,2,50.9,54.75,112,52.38,0.87
"23","01-12-2020 22:00",72,112.5,2,50.115,57.75,116.5,57.42,1.04
"24","01-12-2020 23:00",85,126.5,2,49.14,71.5,135,68.9,1.19
"25","02-12-2020 00:00",88.5,129,2,49.055,76.75,149.25,68.45,1.15
"26","02-12-2020 01:00",90.5,131.5,2,47.93,73.25,147.5,61.48,1.11
"27","02-12-2020 02:00",100,146,2,47.135,81.75,147.5,55.73,0.94
"28","02-12-2020 03:00",99,140,2,46.735,75,135.5,45.7,0.74
"29","02-12-2020 04:00",97,135,2,45.375,64.75,110,40.95,0.64
"30","02-12-2020 05:00",98.5,139,2,44.135,60.5,102.5,37.02,0.59
"31","02-12-2020 06:00",109,164.5,2,44.875,63.25,114,39.85,0.76
"32","02-12-2020 07:00",118,185,2,45.195,76.75,140.25,39.45,0.85
"33","02-12-2020 08:00",143.5,242,2,46.4,77.25,163,51.98,1.17
"34","02-12-2020 09:00",116.5,194.5,2,48.415,73.75,184.5,69.67,1.21
"35","02-12-2020 10:00",44.5,85.5,2,42.635,68.75,162.75,42.58,0.65
"36","02-12-2020 11:00",39.5,81.5,2,42.98,37.25,90.5,34.98,0.46
"37","02-12-2020 12:00",35.5,74,2,38.83,34.75,81.25,32.2,0.34
"38","02-12-2020 13:00",31.5,66.5,2,34.98,33.25,76.25,28.92,0.3
"39","02-12-2020 14:00",36,72.5,1.5,30.86,32.75,77.25,31.05,0.27
"40","02-12-2020 15:00",36.5,71.5,1.5,30.5,40.5,79.5,30.85,0.25
"41","02-12-2020 16:00",37.5,76,2,38.135,46.25,85.5,29.5,0.25
"42","02-12-2020 17:00",38.5,81,1.5,43.585,41.75,94.5,27.85,0.32
"43","02-12-2020 18:00",46.5,95,2,48.77,46.25,115,34.98,0.43
"44","02-12-2020 19:00",56.5,106.5,2,51.295,58.5,145.25,42.3,0.61
"45","02-12-2020 20:00",63,114.5,1.5,51.04,77.5,173.75,44.97,0.71
"46","02-12-2020 21:00",71.5,120,2,51.24,85.25,178,49.6,0.77
"47","02-12-2020 22:00",77,124.5,2,50.88,83.75,184.75,49.4,0.72
"48","02-12-2020 23:00",86.5,127.5,2,50.295,77.5,186.5,54.23,0.76
"49","03-12-2020 00:00",77,115.5,2,49.22,80.25,176.25,49.85,0.58
"50","03-12-2020 01:00",72,108.5,2,49.345,80,141.5,42.05,0.33
"51","03-12-2020 02:00",79.5,114.5,2,49.235,69.5,117.25,39.8,0.32
"52","03-12-2020 03:00",85.5,117.5,2,49.05,72.5,119.25,41.9,0.29
"53","03-12-2020 04:00",89,119,2,48.25,68.5,113.5,38.5,0.3
"54","03-12-2020 05:00",94,127,2,46.74,71,115,39.9,0.38
"55","03-12-2020 06:00",99.5,134,2,46.41,74.5,124.25,39.52,0.4
"56","03-12-2020 07:00",102.5,140,2,45.98,76.25,126.25,43,0.43
"57","03-12-2020 08:00",130,214,2,47.93,79,144,65.32,0.84
"58","03-12-2020 09:00",121.5,204,2,48.715,85.25,182,77.77,1.1
"59","03-12-2020 10:00",91,140,2,47.725,85.25,174.5,58.15,0.96
"60","03-12-2020 11:00",70,111,2,47.905,78.25,174.25,47.62,0.79
"61","03-12-2020 12:00",51.5,91.5,2,44.385,61.25,126,46.2,0.69
"62","03-12-2020 13:00",42,79.5,2,42.915,47,101.25,39.77,0.58
"63","03-12-2020 14:00",48,85,2,43.09,32.75,91.5,30.88,0.52
"64","03-12-2020 15:00",40,72.5,2,39.93,42,90.75,32.4,0.5
"65","03-12-2020 16:00",42,76.5,2,42.76,35.5,75,30.2,0.45
"66","03-12-2020 17:00",38,76,2,47.905,36.25,72.75,32.08,0.48
"67","03-12-2020 18:00",46,83,2,51.3,41,69.75,41.3,0.67
"68","03-12-2020 19:00",58.5,96,2,53.165,40,89.5,56.73,0.94
"69","03-12-2020 20:00",73.5,113.5,2,54.29,59.25,126,80.58,1.5
"70","03-12-2020 21:00",98,143,2,52.155,72.75,164.75,86.18,1.68
"71","03-12-2020 22:00",93.5,131,2,49.64,74.5,174.5,68.6,1.4
"72","03-12-2020 23:00",94.5,130.5,2,47.6,73,152,62.35,1.16
"73","04-12-2020 06:00",99.5,131.5,2,43.64,73,118,41.8,0.5
"74","04-12-2020 07:00",101,135,2,43.5,74,121.5,41.4,0.5
"75","04-12-2020 08:00",102,137.5,2,44.685,78.25,134.75,44.3,0.58
"76","04-12-2020 09:00",96,141.5,2,44.645,82.5,152,46.08,0.78
"77","04-12-2020 10:00",80,124.5,2,47.34,83.5,177.75,45.67,0.73
"78","04-12-2020 11:00",65,104.5,2,46.05,75.75,159.25,42.6,0.72
"79","04-12-2020 12:00",47,83.5,2,45.555,49.75,107,39.55,0.57
"80","04-12-2020 13:00",42,77,2,43.635,28.5,80,31.12,0.31
"81","04-12-2020 14:00",37,69.5,2,42.825,31,68.75,32.52,0.27
"82","04-12-2020 15:00",33.5,62.5,2,38.68,31.75,61.5,31.4,0.23
"83","04-12-2020 16:00",31.5,58.5,2,40.155,26.25,60.75,31.07,0.2
"84","04-12-2020 17:00",31.5,59.5,1.5,43.21,27.75,62.5,28.45,0.32
"85","04-12-2020 18:00",37,73.5,2,49.69,22,65.5,34.6,0.44
"86","04-12-2020 19:00",45,85.5,2,51.64,27.75,83.25,54.27,0.77
"87","04-12-2020 20:00",55.5,96,2,52.965,39.75,100.75,62.45,0.99
"88","04-12-2020 21:00",70,113.5,2,51.95,57,125.25,70.35,1.24
"89","04-12-2020 22:00",81.5,124.5,2,50.7,76.75,156.25,70.03,1.29
"90","04-12-2020 23:00",78.5,119.5,3,51.555,78.75,149.75,66.5,1.19
"91","05-12-2020 00:00",68.5,109,2,50.07,66.75,128.5,65.1,1.03
"92","05-12-2020 01:00",71.5,114,2,49.61,60.25,131.25,57.38,0.82
"93","05-12-2020 02:00",73,111.5,2,48.595,61,128.5,43.02,0.61
"94","05-12-2020 03:00",79,113.5,2,48.03,59,109.5,36.6,0.51
"95","05-12-2020 04:00",86,119,2,48.48,54.5,110.75,37.35,0.46
"96","05-12-2020 05:00",93,127.5,2,45.84,60,112.25,34.68,0.4
"97","05-12-2020 06:00",94.5,127.5,2,46.305,61.5,113,34.33,0.36
"98","05-12-2020 07:00",93.5,123,2,46.41,56.75,94,38.17,0.4
"99","05-12-2020 08:00",95,130,2,46.83,58.5,99.75,40.48,0.53
"100","05-12-2020 09:00",81.5,116.5,2,44.94,63.5,123,40.9,0.55
"101","05-12-2020 10:00",55.5,92,2,44.78,52.75,109.5,28.95,0.48
"102","05-12-2020 11:00",46,83.5,2,39.065,41.75,93.5,27.05,0.35
"103","05-12-2020 12:00",41,79.5,2,31.275,38,85,26.9,0.31
"104","05-12-2020 13:00",38,75,2,31,36.75,80,24.32,0.2
"105","05-12-2020 14:00",37.5,73,2,30.8,31.25,73.5,23.98,0.18
"106","05-12-2020 15:00",34,69.5,2,39.745,27.25,72.5,22.95,0.16
"107","05-12-2020 16:00",29.5,60.5,1.5,38.285,29.5,72,24,0.15
"108","05-12-2020 17:00",32.5,70.5,1,48.05,26.5,69,25.4,0.28
"109","05-12-2020 18:00",39.5,85.5,1,50.67,32.5,85,35.08,0.48
"110","05-12-2020 19:00",48.5,98,2,53.725,40.5,116.5,51.2,0.77
"111","05-12-2020 20:00",54.5,107,2,53.465,55,152.75,59.15,1.07
"112","05-12-2020 21:00",65.5,116.5,2,54.045,69.25,168.75,66.85,1.27
"113","05-12-2020 22:00",78,126.5,2,53.07,76.75,173,66.65,1.31
"114","05-12-2020 23:00",72,117.5,2,50.49,78,167.75,50.88,1.02
"115","06-12-2020 00:00",68.5,112.5,2,50.375,71.25,155.5,44.98,0.78
"116","06-12-2020 01:00",60.5,101.5,2,49.255,58,131.5,43.38,0.64
"117","07-12-2020 12:00",52,87.5,2,45.31,33.75,84.75,22.7,0.58
"118","07-12-2020 13:00",38,68,2,20.785,30.25,77.75,17.1,0.03
"119","07-12-2020 14:00",39.5,69,1.5,25.255,23,60.5,18.27,0.2
"120","07-12-2020 15:00",31.5,53.5,2,23.335,24,60.75,17.1,0.15
"121","07-12-2020 16:00",31.5,58,1.5,32.46,16.75,49.25,0,0.15
"122","07-12-2020 17:00",37,68.5,1.5,40.575,15.25,55.5,27.9,0.46
"123","07-12-2020 18:00",45,85.5,2,47.815,23.5,72.25,37.85,0.64
"124","07-12-2020 19:00",47.5,93.5,2,50.285,30.25,104,53.12,0.85
"125","07-12-2020 20:00",53,98.5,2,50.895,41,119.25,64.12,1.03
"126","07-12-2020 21:00",57,102.5,2,51.3,52.75,129.25,60.57,0.83
