created_at,PM10_2,PM2.5_2,RH_2,Temperature_2
2020-10-09 11:45:00,58.17,52.37,74.91,27.95
2020-10-09 12:00:00,60.8,54.68,73.25,28.59
2020-10-09 12:15:00,60.22,54.14,72.23,28.83
2020-10-09 12:30:00,60.48,54.48,71.39,29.1
2020-10-09 12:45:00,64.5,58.11,70.92,29.07
2020-10-09 13:00:00,71.51,64.25,70.54,29.1
2020-10-09 13:15:00,78.93,70.84,70.5,29.15
2020-10-09 13:30:00,80.25,72.19,70.46,29.17
2020-10-09 13:45:00,80.88,72.88,70.4,29.19
2020-10-09 14:00:00,86.64,77.92,70.66,29.16
2020-10-09 14:15:00,106.83,95.27,70.37,29.21
2020-10-09 14:30:00,95.36,85.1,69.91,29.19
2020-10-09 14:45:00,80.48,72.35,69.75,29.03
2020-10-09 15:00:00,68.42,61.74,69.92,28.99
2020-10-09 15:15:00,63.72,57.51,72.83,28.26
2020-10-09 15:30:00,60.55,54.57,73.64,28.16
2020-10-09 15:45:00,58.08,52.34,73.82,28.23
2020-10-09 16:00:00,55.58,50.15,73.87,28.24
2020-10-09 16:15:00,53.57,48.36,73.61,28.31
2020-10-09 16:30:00,51.54,46.52,73.32,28.32
2020-10-09 16:45:00,49.44,44.7,73.1,28.25
2020-10-09 17:00:00,47.21,42.76,73.04,28.25
2020-10-09 17:15:00,45.8,41.47,73.12,28.25
2020-10-09 17:30:00,44.53,40.36,73.37,28.23
2020-10-09 17:45:00,40.49,36.57,74.21,28.11
2020-10-09 18:00:00,33.3,30.03,74.3,28.11
2020-10-09 18:15:00,30.64,27.62,75.12,28.1
2020-10-09 18:30:00,31.44,28.27,75.6,28.12
2020-10-09 18:45:00,32.17,28.92,75.99,28.13
2020-10-09 19:00:00,31.93,28.72,75.85,28.15
2020-10-09 19:15:00,30.26,27.25,75.71,28.13
2020-10-09 19:30:00,27.84,25.09,75.46,28.13
2020-10-09 19:45:00,25.93,23.23,75.24,28.1
2020-10-09 20:00:00,27.44,24.51,76.17,27.54
2020-10-09 20:15:00,28.26,25.41,75.62,27.74
2020-10-09 20:30:00,31.14,27.88,76.7,27.61
2020-10-09 20:45:00,30.37,27.05,77.89,27.54
2020-10-09 21:00:00,31.46,28.02,78.63,27.37
2020-10-09 21:15:00,32.02,28.68,78.11,27.36
2020-10-09 21:30:00,32.68,29.25,78.21,27.46
2020-10-09 21:45:00,34.82,31.08,78.22,27.34
2020-10-09 22:00:00,33.05,29.56,78.05,27.24
2020-10-09 22:15:00,31.45,28.07,78.01,27.1
2020-10-09 22:30:00,30.6,27.33,78.01,26.96
2020-10-09 22:45:00,29.75,26.55,78.11,26.81
2020-10-09 23:00:00,29.76,26.25,78.2,26.82
2020-10-09 23:15:00,30.34,26.1,78.18,26.82
2020-10-09 23:30:00,29.98,25.3,78.45,26.73
2020-10-09 23:45:00,28.63,24.27,78.11,26.76
2020-10-10 00:00:00,29.59,23.13,77.45,26.88
2020-10-10 00:15:00,30.68,24.76,78.7,26.61
2020-10-10 00:30:00,29.3,22.95,79.21,26.55
2020-10-10 00:45:00,26.33,20.85,78.77,26.6
2020-10-10 01:00:00,24.84,20.8,77.72,26.67
2020-10-10 01:15:00,25.05,21.03,78.64,26.53
2020-10-10 01:30:00,24.41,21.56,78.81,26.56
2020-10-10 01:45:00,27.41,22.48,79.99,26.43
2020-10-10 02:00:00,31.32,23.76,80.49,26.33
2020-10-10 02:15:00,27.95,22.75,79.47,26.46
2020-10-10 02:30:00,26.94,22.5,79.51,26.42
2020-10-10 02:45:00,26.76,22.46,79.1,26.42
2020-10-10 03:00:00,27.37,22.99,80.05,26.2
2020-10-10 03:15:00,25.26,21.74,79.64,26.27
