created_at,pm25_air,pm10_air,co_air,no2_air
01-12-2020 01:00,89.5,129.5,2,48.275
01-12-2020 02:00,91.5,130,2,47.07
01-12-2020 03:00,95,141,2,48.38
01-12-2020 04:00,103,163,2,48.325
01-12-2020 05:00,116,193,2.5,47.065
01-12-2020 06:00,124,204.5,2,47.21
01-12-2020 07:00,126.5,206.5,2,47.105
01-12-2020 08:00,117,186.5,2,46.32
01-12-2020 09:00,94,135,2,44.74
01-12-2020 10:00,87.5,125,2,46.215
01-12-2020 11:00,58.5,95,2,39.11
01-12-2020 12:00,51.5,88,2,31.775
01-12-2020 13:00,46.5,82.5,1,35.59
01-12-2020 14:00,36.5,70,2,29.925
01-12-2020 15:00,40,75,2,31.195
01-12-2020 16:00,38.5,72,1.5,35.38
01-12-2020 17:00,37.5,73.5,1.5,43.295
01-12-2020 18:00,42.5,83,2,49.665
01-12-2020 19:00,52.5,94.5,2,52
01-12-2020 20:00,63,103,2,51.875
01-12-2020 21:00,66.5,106.5,2,50.9
01-12-2020 22:00,72,112.5,2,50.115
01-12-2020 23:00,85,126.5,2,49.14
02-12-2020 00:00,88.5,129,2,49.055
02-12-2020 01:00,90.5,131.5,2,47.93
02-12-2020 02:00,100,146,2,47.135
02-12-2020 03:00,99,140,2,46.735
02-12-2020 04:00,97,135,2,45.375
02-12-2020 05:00,98.5,139,2,44.135
02-12-2020 06:00,109,164.5,2,44.875
02-12-2020 07:00,118,185,2,45.195
02-12-2020 08:00,143.5,242,2,46.4
02-12-2020 09:00,116.5,194.5,2,48.415
02-12-2020 10:00,44.5,85.5,2,42.635
02-12-2020 11:00,39.5,81.5,2,42.98
02-12-2020 12:00,35.5,74,2,38.83
02-12-2020 13:00,31.5,66.5,2,34.98
02-12-2020 14:00,36,72.5,1.5,30.86
02-12-2020 15:00,36.5,71.5,1.5,30.5
02-12-2020 16:00,37.5,76,2,38.135
02-12-2020 17:00,38.5,81,1.5,43.585
02-12-2020 18:00,46.5,95,2,48.77
02-12-2020 19:00,56.5,106.5,2,51.295
02-12-2020 20:00,63,114.5,1.5,51.04
02-12-2020 21:00,71.5,120,2,51.24
02-12-2020 22:00,77,124.5,2,50.88
02-12-2020 23:00,86.5,127.5,2,50.295
03-12-2020 00:00,77,115.5,2,49.22
03-12-2020 01:00,72,108.5,2,49.345
03-12-2020 02:00,79.5,114.5,2,49.235
03-12-2020 03:00,85.5,117.5,2,49.05
03-12-2020 04:00,89,119,2,48.25
03-12-2020 05:00,94,127,2,46.74
03-12-2020 06:00,99.5,134,2,46.41
03-12-2020 07:00,102.5,140,2,45.98
03-12-2020 08:00,130,214,2,47.93
03-12-2020 09:00,121.5,204,2,48.715
03-12-2020 10:00,91,140,2,47.725
03-12-2020 11:00,70,111,2,47.905
03-12-2020 12:00,51.5,91.5,2,44.385
03-12-2020 13:00,42,79.5,2,42.915
