,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
0,0,2020-11-01 00:00:00,82.0,127.0,73.0,172.0,62.7,56.6,1999.9,999.9
1,1,2020-11-01 01:00:00,81.0,120.5,80.0,158.0,60.7,54.9,1999.9,999.9
2,2,2020-11-01 02:00:00,81.0,116.0,67.0,132.0,55.2,50.1,1999.9,999.9
3,3,2020-11-01 03:00:00,83.0,126.0,69.0,133.0,58.5,52.7,1999.9,999.9
4,4,2020-11-01 04:00:00,81.0,121.0,71.0,152.0,55.6,50.2,1999.9,999.9
5,5,2020-11-01 05:00:00,92.0,131.0,75.0,133.0,67.8,61.8,1999.9,999.9
6,6,2020-11-01 07:00:00,108.0,170.0,84.0,182.0,96.5,86.8,1999.9,999.9
7,7,2020-11-01 08:00:00,89.0,134.0,87.0,187.0,69.0,62.2,1999.9,999.9
8,8,2020-11-01 09:00:00,99.0,153.0,72.0,177.0,86.8,78.4,1999.9,999.9
9,9,2020-11-01 10:00:00,72.0,116.0,72.0,181.0,53.6,48.7,1999.9,999.9
10,10,2020-11-01 14:00:00,62.0,97.0,59.0,133.0,41.9,38.2,1999.9,999.9
11,12,2020-11-01 18:00:00,67.0,111.0,66.0,152.0,49.2,44.5,1999.9,999.9
12,13,2020-11-01 19:00:00,72.0,120.0,71.0,166.0,53.0,47.8,1999.9,999.9
13,14,2020-11-01 23:00:00,85.0,130.0,84.0,180.0,66.1,59.8,1999.9,999.9
14,15,2020-11-02 00:00:00,83.0,124.0,83.0,169.0,64.1,58.0,1999.9,999.9
15,16,2020-11-02 01:00:00,88.0,129.0,74.0,154.0,66.9,60.4,1999.9,999.9
16,17,2020-11-02 02:00:00,91.0,131.0,80.0,153.0,71.3,64.2,1999.9,820.8
17,18,2020-11-02 03:00:00,121.0,209.0,87.0,184.0,123.4,110.2,1999.9,999.9
18,19,2020-11-02 04:00:00,124.0,213.0,80.0,175.0,121.7,109.0,1999.9,766.9
19,20,2020-11-02 05:00:00,125.0,209.0,86.0,172.0,115.6,104.5,1999.9,989.4
