"","timestamp","pm25_air","pm10_air","co_air","no2_air","PM2.5","PM10","CO","NO2"
"1","01-11-2020 01:00",79.5,123,2,50.405,74.75,168.5,0.53,39.92
"2","01-11-2020 02:00",79.5,119,2,49.66,76.75,151.5,0.48,37.65
"3","01-11-2020 03:00",82,120,2,49.335,67.5,132.25,0.46,36.92
"4","01-11-2020 04:00",81.5,123.5,2,46.32,69.5,137.75,0.45,36.98
"5","01-11-2020 05:00",87,124.5,2,44.875,72,147.25,0.56,35.65
"6","01-11-2020 06:00",98,141,2,45.54,75,143.5,0.63,41.77
"7","01-11-2020 07:00",110,182,2,47.5,77.25,176.75,0.73,44.62
"8","01-11-2020 08:00",96,155.5,2,46.775,84.75,183.25,0.72,47
"9","01-11-2020 09:00",91,139.5,2,48.195,83.25,184.5,0.66,44.97
"10","01-11-2020 10:00",82,127.5,2,45.12,72,178,0.68,40.32
"11","01-11-2020 11:00",70,109.5,2,41.94,69.75,172.25,0.55,34.4
"12","01-11-2020 12:00",64,103,2,38.065,62,142.75,0.52,35.2
"13","01-11-2020 13:00",59.5,97,1.5,34.755,56.5,127.5,0.5,31.65
"14","01-11-2020 14:00",61,99,2,31.765,51.5,116.5,0.47,33.42
"15","01-11-2020 15:00",60,97.5,2,32.095,57.5,130.5,0.47,33.05
"16","01-11-2020 16:00",59,97,1.5,37.31,54,123,0.45,30.3
"17","01-11-2020 17:00",61,99,2,42.57,57.5,125.5,0.48,30.08
"18","01-11-2020 18:00",64,107,2,45.795,60.75,137.75,0.55,33.02
"19","01-11-2020 19:00",69.5,115,2,48.47,67.25,155.5,0.65,37.77
"20","01-11-2020 20:00",79.5,125.5,2,47.88,73.75,167.5,0.83,43.25
"21","01-11-2020 21:00",84,130.5,2,48,80,172.75,0.86,44.5
"22","01-11-2020 22:00",83.5,129,2,50.905,74.5,178,0.8,42.48
"23","01-11-2020 23:00",84,128,2,51.805,78,185.25,0.76,40.08
"24","02-11-2020 00:00",84,127,2,51.8,83.75,177.25,0.7,41.25
"25","02-11-2020 01:00",84.5,126,2,50.105,80.75,165.25,0.65,38.32
"26","02-11-2020 02:00",89.5,130,2,49.73,75.5,153.75,0.63,39.85
"27","02-11-2020 03:00",99,155,2,49.555,81.75,160.75,0.67,44.6
"28","02-11-2020 04:00",121,209.5,2,48.075,85.25,181.75,0.73,56.33
"29","02-11-2020 05:00",122.5,208.5,2,46.1,81.5,174.25,0.64,53.6
"30","02-11-2020 06:00",124,204.5,2,43.87,84.75,176,0.62,45.05
"31","02-11-2020 07:00",124.5,203,2,44.705,79.25,184.25,0.7,49.52
"32","02-11-2020 08:00",122,189,2,47.2,75.25,176.5,0.81,51.5
"33","02-11-2020 09:00",108.5,163.5,2,45.9,77.25,184.5,0.71,46.35
"34","02-11-2020 10:00",93.5,145,2,47.275,73.75,179.5,0.71,48.5
"35","02-11-2020 11:00",82,119,2,45.13,77.75,185.25,0.54,41.08
"36","02-11-2020 12:00",71.5,109.5,1.5,39.23,72.75,173.75,0.44,40.2
"37","02-11-2020 13:00",68.5,101.5,1.5,31.15,69.75,149.75,0.53,33
"38","02-11-2020 14:00",56.5,91.5,1,31.785,67.75,127,0.42,31.27
"39","02-11-2020 15:00",51.5,86,2.5,32.585,55,104.25,0.37,31.23
"40","02-11-2020 16:00",54,89,1.5,35.84,56.75,102.5,0.39,30.2
"41","02-11-2020 17:00",55,90.5,2,41.265,61.75,116,0.53,26.48
"42","02-11-2020 18:00",63,100.5,1.5,40.34,63.5,131.75,0.63,30
"43","02-11-2020 19:00",79.5,114.5,2,49.37,74.75,158,0.77,38.12
"44","02-11-2020 20:00",85.5,122.5,2,49,84,176.25,0.81,39.73
"45","02-11-2020 21:00",90.5,127,2,49.025,77.75,178.75,0.69,40.78
"46","02-11-2020 22:00",102,157.5,2.5,47.425,78.5,183,0.71,42.12
"47","02-11-2020 23:00",85,121,2,48.025,82,176.5,0.66,39.88
"48","03-11-2020 00:00",85.5,122.5,2,48.64,80.75,169,0.62,43.9
"49","03-11-2020 01:00",96,142,2,49.46,83.75,178.5,0.55,45.53
"50","03-11-2020 02:00",92,130,2,51.12,78.5,178.25,0.47,44.02
"51","03-11-2020 03:00",93.5,129,2,48.46,82.5,167,0.45,37.38
"52","03-11-2020 04:00",99.5,136.5,2,47.73,81.25,152.5,0.48,35.23
"53","03-11-2020 05:00",99.5,137,2,47.98,80.25,161.25,0.51,34.08
"54","03-11-2020 06:00",99.5,139,2,46.795,77.75,157,0.51,35.12
"55","03-11-2020 07:00",114,169,2,46.06,85.75,166.25,0.62,45.53
"56","03-11-2020 08:00",128.5,197.5,2,50.815,83.5,182.75,0.71,50.65
"57","03-11-2020 09:00",117,178.5,2,51.26,77.75,179,0.65,43.38
"58","03-11-2020 10:00",104,156.5,2,46.965,76.75,184,0.66,43.08
"59","03-11-2020 11:00",91.5,133,2,44.115,82.75,172.5,0.59,39.15
"60","03-11-2020 12:00",86,121,2,41.48,78,174.5,0.29,36.55
"61","03-11-2020 13:00",76,109.5,2,38.795,82.5,168.75,0.38,31.27
"62","03-11-2020 14:00",74,106,2,37.705,78,145.5,0.35,25.68
"63","03-11-2020 15:00",75,106.5,1.5,33.7,77.75,144.25,0.4,27.43
