,timestamp,pm25_air,pm10_air,PM2.5,PM10,co_air,no2_air,NO2,CO,Ozone,Temp,RH
1,01-11-2020 01:00,79.5,123,74.75,168.5,2,50.405,39.92,0.53,61.38,29.4,62.5
2,01-11-2020 02:00,79.5,119,76.75,151.5,2,49.66,37.65,0.48,57.85,29.42,65
3,01-11-2020 03:00,82,120,67.5,132.25,2,49.335,36.92,0.46,52.95,29.47,67.5
4,01-11-2020 04:00,81.5,123.5,69.5,137.75,2,46.32,36.98,0.45,52.25,29.8,68
5,01-11-2020 05:00,87,124.5,72,147.25,2,44.875,35.65,0.56,42.98,29.38,72.25
6,01-11-2020 06:00,98,141,75,143.5,2,45.54,41.77,0.63,25.67,29.3,73
7,01-11-2020 07:00,110,182,77.25,176.75,2,47.5,44.62,0.73,25.58,29.3,73
8,01-11-2020 08:00,96,155.5,84.75,183.25,2,46.775,47,0.72,50.42,29.25,63.5
9,01-11-2020 09:00,91,139.5,83.25,184.5,2,48.195,44.97,0.66,71.1,29.25,57
10,01-11-2020 10:00,82,127.5,72,178,2,45.12,40.32,0.68,87.9,29.45,51.75
11,01-11-2020 11:00,70,109.5,69.75,172.25,2,41.94,34.4,0.55,89.62,29.95,49
12,01-11-2020 12:00,64,103,62,142.75,2,38.065,35.2,0.52,88.1,30,47
13,01-11-2020 13:00,59.5,97,56.5,127.5,1.5,34.755,31.65,0.5,87.55,29.95,45.25
14,01-11-2020 14:00,61,99,51.5,116.5,2,31.765,33.42,0.47,93.85,29.62,44.25
15,01-11-2020 15:00,60,97.5,57.5,130.5,2,32.095,33.05,0.47,95.32,29.67,44.25
16,01-11-2020 16:00,59,97,54,123,1.5,37.31,30.3,0.45,95.1,29.67,44.75
17,01-11-2020 17:00,61,99,57.5,125.5,2,42.57,30.08,0.48,98.5,29.67,45.75
18,01-11-2020 18:00,64,107,60.75,137.75,2,45.795,33.02,0.55,92.9,29.62,47.5
19,01-11-2020 19:00,69.5,115,67.25,155.5,2,48.47,37.77,0.65,80.92,29.48,50
20,01-11-2020 20:00,79.5,125.5,73.75,167.5,2,47.88,43.25,0.83,79.52,29.42,51.5
21,01-11-2020 21:00,84,130.5,80,172.75,2,48,44.5,0.86,78.85,29.4,54
22,01-11-2020 22:00,83.5,129,74.5,178,2,50.905,42.48,0.8,77.95,29.35,55.25
23,01-11-2020 23:00,84,128,78,185.25,2,51.805,40.08,0.76,75.28,29.3,57.25
24,01-12-2020 00:00,86.5,128.5,86,184,2,50.4,81.12,1.6,1.58,29.33,78
25,01-12-2020 01:00,89.5,129.5,84.25,166.5,2,48.275,62.1,1.3,10.12,29.3,79
26,01-12-2020 02:00,91.5,130,77.5,147.75,2,47.07,52,1.14,6.55,29.4,81.25
27,01-12-2020 03:00,95,141,73.75,144,2,48.38,65.12,1.28,0.4,29.4,83
28,01-12-2020 04:00,103,163,78.75,180.5,2,48.325,63.98,1.35,1.05,29.57,83.25
29,01-12-2020 05:00,116,193,85,183,2.5,47.065,64.38,1.06,0.95,29.3,84.25
30,01-12-2020 06:00,124,204.5,79.25,181.5,2,47.21,56.62,0.84,1.55,29.35,84
31,01-12-2020 07:00,126.5,206.5,81,163,2,47.105,48.45,0.69,2.97,29.35,85.25
32,01-12-2020 08:00,117,186.5,84.5,150.5,2,46.32,46.72,0.68,10.35,29.4,83
33,01-12-2020 09:00,94,135,79,146.25,2,44.74,38.5,0.53,44.32,29.38,73.25
34,01-12-2020 10:00,87.5,125,56.75,112,2,46.215,37.5,0.47,68.7,29.33,66.5
35,01-12-2020 11:00,58.5,95,49,106,2,39.11,31.25,0.37,82.03,29.6,59.75
36,01-12-2020 12:00,51.5,88,36,78,2,31.775,30.55,0.31,87.2,29.68,55.25
37,01-12-2020 13:00,46.5,82.5,31.25,77.25,1,35.59,28.38,0.45,89.8,29.57,51.25
38,01-12-2020 14:00,36.5,70,26,80.5,2,29.925,27.43,0.38,85.42,29.17,47.5
39,01-12-2020 15:00,40,75,28.5,70.25,2,31.195,26.95,0.36,93.3,29.25,46.75
40,01-12-2020 16:00,38.5,72,34.25,70.75,1.5,35.38,26.55,0.33,102.75,29.25,46.5
41,01-12-2020 17:00,37.5,73.5,29,71.25,1.5,43.295,26.18,0.28,99.9,29.15,47.25
42,01-12-2020 18:00,42.5,83,31.25,77.5,2,49.665,31.67,0.37,76,29.23,54.5
43,01-12-2020 19:00,52.5,94.5,40.75,91.25,2,52,42.68,0.6,53.35,29.3,63.5
44,01-12-2020 20:00,63,103,50.5,110.5,2,51.875,48.6,0.79,47.88,29.35,66.75
45,01-12-2020 21:00,66.5,106.5,54.75,112,2,50.9,52.38,0.87,36.97,29.3,68.5
46,01-12-2020 22:00,72,112.5,57.75,116.5,2,50.115,57.42,1.04,24.55,29.5,71.75
47,01-12-2020 23:00,85,126.5,71.5,135,2,49.14,68.9,1.19,10.68,29.5,73.75
48,02-11-2020 00:00,84,127,83.75,177.25,2,51.8,41.25,0.7,74.53,29.38,58.75
49,02-11-2020 01:00,84.5,126,80.75,165.25,2,50.105,38.32,0.65,69.3,29.38,61.5
50,02-11-2020 02:00,89.5,130,75.5,153.75,2,49.73,39.85,0.63,49.95,29.33,69.25
51,02-11-2020 03:00,99,155,81.75,160.75,2,49.555,44.6,0.67,53.3,29.38,69.5
52,02-11-2020 04:00,121,209.5,85.25,181.75,2,48.075,56.33,0.73,12,29.73,75
53,02-11-2020 05:00,122.5,208.5,81.5,174.25,2,46.1,53.6,0.64,6.05,29.4,80.5
54,02-11-2020 06:00,124,204.5,84.75,176,2,43.87,45.05,0.62,5.78,29.3,82.75
55,02-11-2020 07:00,124.5,203,79.25,184.25,2,44.705,49.52,0.7,6.03,29.3,81.25
56,02-11-2020 08:00,122,189,75.25,176.5,2,47.2,51.5,0.81,19.43,29.33,74.25
57,02-11-2020 09:00,108.5,163.5,77.25,184.5,2,45.9,46.35,0.71,55.35,29.33,63.5
58,02-11-2020 10:00,93.5,145,73.75,179.5,2,47.275,48.5,0.71,79.15,29.5,55.25
