created_at,pm25_air,pm10_air,PM2.5,PM10
01-10-2020 01:00,52.5,86,35.5,51.75
01-10-2020 02:00,60.5,94.5,33,50.25
01-10-2020 03:00,81,122,30,48
01-10-2020 04:00,72.5,109.5,37.25,62.75
01-10-2020 05:00,72,108.5,41,56.25
01-10-2020 06:00,83,124.5,42.75,74.25
01-10-2020 07:00,62,94.5,46,88.25
01-10-2020 08:00,51,82.5,37.75,54
01-10-2020 09:00,46,76.5,29.75,50
01-10-2020 10:00,39.5,69.5,27.25,56.75
01-10-2020 11:00,38.5,68.5,32.75,60.5
01-10-2020 12:00,38.5,69.5,38.25,66.75
01-10-2020 13:00,41.5,74,39.5,72.75
01-10-2020 14:00,42.5,75,43.75,75
01-10-2020 15:00,41.5,76,50.75,77
01-10-2020 16:00,38.5,77,46.5,84
01-10-2020 17:00,37,80.5,46.75,89.25
01-11-2020 00:00,87.5,133.5,86,179
01-11-2020 00:00,87.5,133.5,73,172
02-10-2020 13:00,31,71,42,86.5
02-10-2020 14:00,25,65,41.5,86.25
02-10-2020 15:00,22.5,61,39.75,87.75
02-10-2020 16:00,22.5,62,40.75,82
02-10-2020 17:00,24,65,45,86.25
02-10-2020 18:00,26.5,69,42.75,89.25
02-10-2020 19:00,32.5,78.5,44.75,89
02-10-2020 20:00,37,83,45.5,92.75
02-10-2020 21:00,39,81.5,47.5,84.25
02-10-2020 22:00,47,87,42.25,86.25
02-10-2020 23:00,54,97.5,51.5,110.75
03-10-2020 00:00,64,109.5,59,121.75
03-10-2020 01:00,72,117,59.75,127.5
03-10-2020 02:00,67,109,61.5,118.25
03-10-2020 03:00,55.5,98,60,113
03-10-2020 04:00,50,91.5,49.25,98
03-10-2020 05:00,57,93.5,49.75,90.25
03-10-2020 06:00,45.5,84,39.5,85.25
03-10-2020 07:00,45.5,84.5,37.25,85
03-10-2020 08:00,52,91,37.25,84.75
03-10-2020 09:00,50,88.5,44.5,92.75
03-10-2020 10:00,42,82.5,44.75,91
03-10-2020 11:00,35.5,77,41.75,88
03-10-2020 12:00,31.5,69.5,44.25,88.75
03-10-2020 13:00,27,67,43.5,91.5
03-10-2020 14:00,25,66,38.75,92.5
03-10-2020 15:00,25,66,39,90.25
03-10-2020 16:00,24.5,67.5,43,88
03-10-2020 17:00,26,70.5,47.25,90
03-10-2020 18:00,29,77,50.25,96
03-10-2020 19:00,34,84.5,49.5,106
03-10-2020 20:00,39,89,55,122
03-10-2020 21:00,45,91,57.5,124.75
03-10-2020 22:00,47,89.5,56,121.75
03-10-2020 23:00,49,87,54,109.25
04-10-2020 00:00,53,95,51.75,99.75
04-10-2020 01:00,58,101,62.25,123
04-10-2020 02:00,66,107,59.5,121.25
04-10-2020 03:00,58,99.5,56.75,111
04-10-2020 04:00,49.5,88.5,49.5,92.75
04-10-2020 05:00,53.5,90,37.25,79.5
04-10-2020 06:00,57.5,94,33.75,68.5
04-10-2020 07:00,58,94,38,66.25
04-10-2020 08:00,54.5,90.5,36.25,67.25
04-10-2020 09:00,49,88.5,42,79
04-10-2020 10:00,39,80,46.5,84.75
04-10-2020 11:00,32,75,42,85.75
04-10-2020 12:00,32.5,72.5,41.5,89.25
04-10-2020 13:00,26,61.5,39.5,84.5
04-10-2020 14:00,25,59,38.75,84.5
04-10-2020 15:00,26,61,41,81
04-10-2020 16:00,35,73.5,43.25,87
04-10-2020 17:00,32.5,73.5,51,93.5
04-10-2020 18:00,29,69.5,51.75,86.25
04-10-2020 19:00,33.5,75,46,88.75
04-10-2020 20:00,41,85.5,49,95.75
04-10-2020 21:00,47.5,88,48.75,102
04-10-2020 22:00,53,95.5,50.25,110.75
04-10-2020 23:00,68,109,58,127.5
05-10-2020 00:00,51,88.5,57.25,113.5
05-10-2020 01:00,48,85,44.5,73.25
05-10-2020 02:00,49.5,86,41,66
05-10-2020 03:00,53.5,93.5,43,71
05-10-2020 04:00,55,96.5,40,78.75
05-10-2020 05:00,55.5,93.5,38.75,81
05-10-2020 06:00,57.5,93,35,71.25
05-10-2020 07:00,62.5,97.5,35,67.25
05-10-2020 08:00,54,89.5,35.75,64.75
05-10-2020 09:00,50.5,87,38.75,75.25
05-10-2020 10:00,46.5,84,40.75,85
05-10-2020 11:00,41.5,79.5,38.25,93
05-10-2020 12:00,38,76.5,34.5,89.75
05-10-2020 13:00,31,66,39,89
05-10-2020 14:00,29,64,33,82.25
05-10-2020 15:00,30,67,36.5,85.25
05-10-2020 16:00,32.5,70,37.5,92.25
05-10-2020 17:00,31.5,71,36.25,91.75
05-10-2020 18:00,33,74.5,37.25,91.25
05-10-2020 19:00,40.5,83.5,39.25,102.75
