,created_at,pm25_air,pm10_air,co_air,no2_air,PM2.5,PM10,NO2,CO,Temp,RH,WS
1,01-10-2020 01:00,52.5,86,2,49.48,35.5,51.75,20.55,0.21,29,85.5,0.3
2,01-10-2020 02:00,60.5,94.5,2,47.29,33,50.25,20.5,0.21,29.12,86.25,0.32
3,01-10-2020 03:00,81,122,2,46.045,30,48,23.05,0.21,29.1,87,0.4
4,01-10-2020 04:00,72.5,109.5,2,46.475,37.25,62.75,22.1,0.23,29,87,0.3
5,01-10-2020 05:00,72,108.5,2,46.425,41,56.25,20.88,0.28,29.02,87,0.38
6,01-10-2020 06:00,83,124.5,2,47.31,42.75,74.25,24.8,0.29,29,87,0.43
7,01-10-2020 07:00,62,94.5,7,48.05,46,88.25,21.68,0.3,29,86.5,0.68
8,01-10-2020 08:00,51,82.5,2,46.225,37.75,54,18.45,0.25,28.98,85,0.6
9,01-10-2020 09:00,46,76.5,6.5,41.19,29.75,50,18.83,0.31,29.02,81.5,1.05
10,01-10-2020 10:00,39.5,69.5,2,28.225,27.25,56.75,19.5,0.3,28.98,75.75,1.73
11,01-10-2020 11:00,38.5,68.5,7.5,25.3,32.75,60.5,20.45,0.26,28.92,70,1.77
12,01-10-2020 12:00,38.5,69.5,2,27.87,38.25,66.75,20.3,0.29,29.02,71,2.08
13,01-10-2020 13:00,41.5,74,2,19.25,39.5,72.75,18.75,0.28,29.05,67.75,2.12
14,01-10-2020 14:00,42.5,75,1,25.745,43.75,75,19.9,0.28,29.05,66.75,1.9
15,01-10-2020 15:00,41.5,76,1.5,31.925,50.75,77,20.6,0.29,29.08,66.75,1.95
16,01-10-2020 16:00,38.5,77,1.5,30.36,46.5,84,18.18,0.29,29.15,66,1.75
17,01-10-2020 17:00,37,80.5,1.5,32.135,46.75,89.25,19.27,0.16,29.17,64.75,1.82
18,01-11-2020 00:00,87.5,133.5,2,49.345,86,179,42.23,0.7,29.45,59.25,0.3
19,01-11-2020 00:00,87.5,133.5,2,49.345,73,172,40.95,0.55,29.4,61.5,0.3
20,02-10-2020 13:00,31,71,2,22.64,42,86.5,19.07,0.17,29.15,62.25,2.55
21,02-10-2020 14:00,25,65,1.5,32.02,41.5,86.25,18.1,0.15,29.23,58.75,2.67
22,02-10-2020 15:00,22.5,61,2,36.195,39.75,87.75,19.83,0.14,29.27,56.5,2.25
23,02-10-2020 16:00,22.5,62,1.5,40.905,40.75,82,18.88,0.13,29.27,55.25,2.15
24,02-10-2020 17:00,24,65,2,35.865,45,86.25,19.05,0.22,29.33,57.5,2
25,02-10-2020 18:00,26.5,69,1,41.705,42.75,89.25,20.2,0.24,29.25,62,1.52
26,02-10-2020 19:00,32.5,78.5,2,47.835,44.75,89,23.03,0.32,29.2,67,0.43
27,02-10-2020 20:00,37,83,2,50.925,45.5,92.75,24.55,0.42,29.25,70.75,0.3
28,02-10-2020 21:00,39,81.5,1.5,48.25,47.5,84.25,23.12,0.33,29.23,73,0.3
29,02-10-2020 22:00,47,87,2,48,42.25,86.25,26.23,0.39,29.17,76,0.3
30,02-10-2020 23:00,54,97.5,2,49.245,51.5,110.75,27.88,0.44,29.17,78.5,0.3
31,03-10-2020 00:00,64,109.5,3,47,59,121.75,29.35,0.46,29.1,78.5,0.3
32,03-10-2020 01:00,72,117,2,46.575,59.75,127.5,28.52,0.47,29.1,78.5,0.3
33,03-10-2020 02:00,67,109,4,46.365,61.5,118.25,27.32,0.43,29.1,80,0.3
34,03-10-2020 03:00,55.5,98,1,49.275,60,113,26,0.39,29.1,80,0.3
35,03-10-2020 04:00,50,91.5,2,48.61,49.25,98,23.07,0.31,29.1,80,0.3
36,03-10-2020 05:00,57,93.5,2,51.805,49.75,90.25,22.95,0.22,29.05,79.75,0.4
37,03-10-2020 06:00,45.5,84,1,48.635,39.5,85.25,19.7,0.17,29.25,79.5,0.5
38,03-10-2020 07:00,45.5,84.5,2,151.455,37.25,85,19.83,0.16,29.23,80,0.4
39,03-10-2020 08:00,52,91,1.5,47.915,37.25,84.75,23.25,0.2,29.3,79,0.72
40,03-10-2020 09:00,50,88.5,1.5,47.94,44.5,92.75,22.62,0.37,29.3,75.75,1.55
41,03-10-2020 10:00,42,82.5,1.5,42.63,44.75,91,22.15,0.35,29.2,71.75,2
42,03-10-2020 11:00,35.5,77,2,38.485,41.75,88,22.43,0.36,29.32,67.75,2.35
43,03-10-2020 12:00,31.5,69.5,1.5,29.865,44.25,88.75,20.75,0.32,29.35,63.75,2.15
44,03-10-2020 13:00,27,67,2,35.17,43.5,91.5,20.48,0.23,29.38,59,2.12
45,03-10-2020 14:00,25,66,1.5,32.27,38.75,92.5,20.43,0.22,29.33,56.75,2.33
46,03-10-2020 15:00,25,66,1,32.96,39,90.25,20.02,0.22,29.4,54.5,2.17
47,03-10-2020 16:00,24.5,67.5,1.5,42.76,43,88,20.38,0.2,29.27,54.25,1.55
48,03-10-2020 17:00,26,70.5,2.5,39.415,47.25,90,19.07,0.24,29.38,55.25,1.12
49,03-10-2020 18:00,29,77,2,42.9,50.25,96,18.58,0.23,29.55,58,0.8
50,03-10-2020 19:00,34,84.5,2,45.5,49.5,106,29.88,0.48,29.83,60.5,0.6
51,03-10-2020 20:00,39,89,2,46.725,55,122,32.98,0.61,29.83,64.5,0.3
52,03-10-2020 21:00,45,91,1.5,46.975,57.5,124.75,33.02,0.62,29.83,67,0.3
53,03-10-2020 22:00,47,89.5,2,49.31,56,121.75,28.38,0.55,29.88,71.25,0.3
54,03-10-2020 23:00,49,87,2,47.55,54,109.25,25.3,0.54,29.77,77.25,0.3
55,04-10-2020 00:00,53,95,2,47.94,51.75,99.75,29.88,0.56,29.77,78.5,0.3
56,04-10-2020 01:00,58,101,2,49.3,62.25,123,35.35,0.52,29.7,79.25,0.3
57,04-10-2020 02:00,66,107,2,50.015,59.5,121.25,27.95,0.5,29.68,81.5,0.3
58,04-10-2020 03:00,58,99.5,2,47.025,56.75,111,24.43,0.44,29.88,81.75,0.3
59,04-10-2020 04:00,49.5,88.5,2,48.44,49.5,92.75,20.02,0.31,30.2,81.25,0.32
