,created_at,pm25,pm10,rh,temp
0,2020-11-01 00:00:00,56.6,62.7,47.11,28.93
1,2020-11-01 00:15:00,55.4,61.3,48.89,28.94
2,2020-11-01 00:30:00,53.8,59.4,48.96,28.71
3,2020-11-01 00:45:00,55.2,60.9,49.64,28.59
4,2020-11-01 01:00:00,54.9,60.7,50.21,28.45
5,2020-11-01 01:15:00,50.7,56.3,51.74,28.34
6,2020-11-01 01:30:00,53.8,59.3,52.09,28.05
7,2020-11-01 01:45:00,47.9,52.8,49.43,27.89
8,2020-11-01 02:00:00,50.1,55.2,52.39,27.89
9,2020-11-01 02:15:00,52.4,57.5,53.27,27.6
10,2020-11-01 02:30:00,51.6,56.7,53.67,27.6
11,2020-11-01 02:45:00,53.1,58.4,54.13,27.46
12,2020-11-01 03:00:00,52.7,58.5,52.22,27.22
13,2020-11-01 03:15:00,52.1,57.6,51.81,27.2
14,2020-11-01 03:30:00,53.0,58.7,53.01,27.28
15,2020-11-01 03:45:00,51.3,57.0,54.35,27.09
16,2020-11-01 04:00:00,50.2,55.6,54.58,26.86
17,2020-11-01 04:15:00,52.8,58.1,55.2,26.57
18,2020-11-01 04:30:00,55.5,61.3,55.57,26.5
19,2020-11-01 04:45:00,63.3,69.7,54.96,26.49
20,2020-11-01 05:00:00,61.8,67.8,55.13,26.54
21,2020-11-01 05:15:00,70.7,77.8,55.86,26.5
22,2020-11-01 05:30:00,70.9,78.2,56.64,26.49
23,2020-11-01 05:45:00,74.5,82.0,56.85,26.28
24,2020-11-01 06:00:00,82.3,91.2,57.4,26.17
25,2020-11-01 06:15:00,91.3,101.3,57.61,26.01
26,2020-11-01 06:30:00,83.4,92.9,55.22,26.25
27,2020-11-01 06:45:00,94.4,104.5,54.9,26.49
28,2020-11-01 07:00:00,86.8,96.5,56.1,26.69
29,2020-11-01 07:15:00,75.6,84.9,51.75,26.85
30,2020-11-01 07:30:00,69.5,77.4,50.7,27.07
31,2020-11-01 07:45:00,69.1,77.3,49.45,27.42
32,2020-11-01 08:00:00,62.2,69.0,48.83,27.82
33,2020-11-01 08:15:00,64.6,72.0,47.35,27.99
34,2020-11-01 08:30:00,65.6,73.2,46.66,28.56
35,2020-11-01 08:45:00,69.5,77.1,45.43,28.89
36,2020-11-01 09:00:00,78.4,86.8,44.85,29.03
37,2020-11-01 09:15:00,67.3,74.8,46.19,29.75
38,2020-11-01 09:30:00,51.2,56.5,42.06,29.81
39,2020-11-01 09:45:00,50.2,55.5,39.01,30.02
40,2020-11-01 10:00:00,48.7,53.6,39.33,30.32
41,2020-11-01 10:15:00,47.6,52.7,39.66,30.85
42,2020-11-01 10:30:00,48.2,53.4,38.88,31.42
43,2020-11-01 10:45:00,47.5,52.7,39.49,31.35
44,2020-11-01 11:00:00,45.3,50.0,38.57,31.8
45,2020-11-01 11:15:00,44.6,49.4,37.77,32.1
46,2020-11-01 11:30:00,42.8,47.2,37.85,32.81
47,2020-11-01 11:45:00,41.4,45.7,35.24,33.19
48,2020-11-01 12:00:00,38.0,42.0,35.92,33.2
49,2020-11-01 12:15:00,39.1,42.9,34.84,33.52
50,2020-11-01 12:30:00,39.4,43.6,34.34,33.83
51,2020-11-01 13:00:00,39.5,43.6,34.76,34.56
52,2020-11-01 13:15:00,38.1,41.6,32.94,34.67
53,2020-11-01 13:30:00,39.1,43.0,32.75,35.08
54,2020-11-01 13:45:00,37.7,41.7,31.99,35.71
55,2020-11-01 14:00:00,38.2,41.9,32.24,35.29
56,2020-11-01 14:15:00,38.8,42.6,31.77,35.92
